車站種類,車站狀態,車站編號,車站名稱,所在縣市,行政區,轉乘狀態,轉乘捷運,轉乘台鐵,轉乘高鐵,車站位置,lat,lng
tp_mrt,1,R04,台北捷運信義安和站,台北市,大安區,N,0,0,0,台北市大安區信義路4段212之1號,25.033015,121.552326
tp_mrt,1,R05,台北捷運大安站,台北市,大安區,M,1,0,0,台北市大安區信義路3段180號,25.033311,121.54237
tp_mrt,1,R06,台北捷運大安森林公園站,台北市,大安區,N,0,0,0,台北市大安區信義路3段100號,25.033225,121.536151
tp_mrt,1,R07,台北捷運東門站,台北市,大安區,M,1,0,0,台北市大安區信義路2段166號,25.033894,121.528766
tp_mrt,1,R08,台北捷運中正紀念堂站,台北市,中正區,M,2,0,0,台北市中正區羅斯福路1段8之1號,25.032767,121.518273
tp_mrt,1,R09,台北捷運台大醫院站,台北市,中正區,N,0,0,0,台北市中正區公園路52號,25.041399,121.51602
tp_mrt,1,R10,台北捷運台北車站,台北市,中正區,MTH,3,1,1,台北市中正區忠孝西路1段49號,25.04631,121.517415
tp_mrt,1,R11,台北捷運中山站,台北市,大同區,M,1,0,0,台北市大同區南京西路16號,25.052621,121.520364
tp_mrt,1,R12,台北捷運雙連站,台北市,大同區,M,1,0,0,台北市大同區民生西路47號,25.057575,121.520685
tp_mrt,1,R13,台北捷運民權西路站,台北市,大同區,M,1,0,0,台北市大同區民權西路72號,25.06235,121.519585
tp_mrt,1,R14,台北捷運圓山站,台北市,大同區,N,0,0,0,台北市大同區酒泉街9之1號,25.071409,121.520074
tp_mrt,1,R15,台北捷運劍潭站,台北市,士林區,N,0,0,0,台北市士林區中山北路5段65號,25.084201,121.524955
tp_mrt,1,R16,台北捷運士林站,台北市,士林區,M,1,0,0,台北市士林區福德路1號,25.093492,121.52623
tp_mrt,1,R17,台北捷運芝山站,台北市,士林區,N,0,0,0,台北市士林區福國路70號,25.102718,121.522546
tp_mrt,1,R18,台北捷運明德站,台北市,北投區,N,0,0,0,台北市北投區明德路95號,25.109815,121.518785
tp_mrt,1,R19,台北捷運石牌站,台北市,北投區,N,0,0,0,台北市北投區石牌路1段200號,25.114455,121.515572
tp_mrt,1,R20,台北捷運唭哩岸站,台北市,北投區,N,0,0,0,台北市北投區東華街2段301號,25.120852,121.506234
