Station_Type,Activated,Station_ID,Station_Name,County,District,T_Status,Num_Mrt,Num_Train,Num_Thsr,Station_Address,lat,lng
TpMrt,0,LG13,中華中學站(規劃中),新北市,土城區,N,1,0,0,新北市土城區中華路二段171號1,24.9753604,121.43861170000001
TpMrt,0,LG14,溪州站(規劃中),新北市,樹林區,N,1,0,0,無資料,24.9846382,121.42598390000002
TpMrt,0,LG15,彭福站(規劃中),新北市,樹林區,N,1,0,0,新北市樹林區中華路72號,24.981555399999998,121.4198148
TpMrt,0,LG16,育林國小站(規劃中),新北市,樹林區,N,1,0,0,新北市樹林區大安路435號,24.9882266,121.41513710000001
TpMrt,0,LG17,樹人家商站(規劃中),新北市,樹林區,N,1,0,0,新北市樹林區大安路287號,24.994314000000003,121.41935349999999
TpMrt,0,LG18,潭底站(規劃中),新北市,樹林區,N,1,0,0,新北市樹林區中正路103號,25.0009943,121.42537240000001
TpMrt,0,LG19,監理所站(規劃中),新北市,樹林區,N,1,0,0,新北市樹林區中正路423號,25.0078298,121.41688590000001
TpMrt,0,LG20,三角埔站(規劃中),新北市,樹林區,N,1,0,0,新北市樹林區中正路755號,25.015287100000002,121.41060949999999
TpMrt_TyMrt,0,LG21_BRH8_O21,迴龍站(規劃中),新北市,新莊區,M,3,0,0,新北市新莊區新北大道七段219號迴龍站 242,25.022107000000002,121.41175700000001
TpMrt,1,O01,南勢角站,新北市,中和區,N,1,0,0,新北市中和區捷運路6號,24.990064999999998,121.50923700000001
TpMrt,1,O02_Y11,景安站,新北市,中和區,M,2,0,0,新北市中和區景平路486號,24.993920000000003,121.50511399999999
