,Name,Address,lng,lat,Type
136,MR.BROWN 伯朗咖啡館 (承德店),103台灣台北市大同區承德路三段131號,121.5186697,25.0674454,"['cafe', 'food', 'point_of_interest', 'establishment']"
137,85度C咖啡蛋糕飲料(新店三民店),231台灣新北市新店區三民路187號,121.5351262,24.9754456,"['cafe', 'food', 'point_of_interest', 'establishment']"
138,羽兒咖啡館,220台灣新北市板橋區萬板路118號,121.4748959,25.0231913,"['cafe', 'food', 'point_of_interest', 'establishment']"
139,85度C咖啡蛋糕-板橋新海店,220台灣新北市板桥区新海路332號1樓,121.4603544,25.0242132,"['cafe', 'food', 'point_of_interest', 'establishment']"
140,Aussie Cafe 澳氏咖啡,104台灣台北市中山區中山北路二段115巷33號,121.524291,25.061014,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
141,咖啡米精選咖啡豆專賣店,104台灣台北市中山區林森北路159巷4號,121.525504,25.0516727,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
142,Gotiti cafe,221台灣新北市汐止區南昌街67號,121.6636991,25.0673755,"['cafe', 'food', 'point_of_interest', 'establishment']"
143,Lovejoylife Cafe,333台灣桃園市龜山區明德路25號,121.338036,24.9933431,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
144,Cafe By Juicy Diary,106台灣台北市大安區四維路14巷2號1樓,121.5478777,25.0366975,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
145,Dante coffee丹堤咖啡,112台灣台北市北投區大業路462-8號,121.4969444,25.1319444,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
146,RD Cafe 深烘焙重慶南店 RD 咖啡,100台灣台北市中正區重慶南路一段94號1樓,121.51303,25.042922,"['cafe', 'food', 'point_of_interest', 'establishment']"
147,ForgoodCafe 好多咖啡,106台灣台北市大安區永康街41巷12號,121.5300199,25.0303995,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
148,璐巴咖啡店,106台灣台北市大安區羅斯福路三段283巷21弄2號,121.5316765,25.0196991,"['cafe', 'food', 'point_of_interest', 'establishment']"
149,ANGEL CAFE,106台灣台北市大安區永康街18號,121.5294008,25.0310759,"['cafe', 'food', 'point_of_interest', 'establishment']"
150,萊茵城堡咖啡館Rhine Castle Cafe,251台灣新北市淡水區真理街4-1號,121.438624,25.1731025,"['cafe', 'food', 'point_of_interest', 'establishment']"
151,SUNNY CAFE,105台灣台北市松山區敦化北路100號,121.5484549,25.0524894,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
152,早秋咖啡 Cafe Macho,10085台灣台北市中正區晉江街10號,121.521129,25.026052,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
153,139.CAFE,"號, No. 139篤行路二段板橋區新北市台灣 220",121.42998,24.988243,"['cafe', 'food', 'point_of_interest', 'establishment']"
154,花神咖啡私房小廚,226台灣新北市平溪區靜安路三段356號,121.780584,25.045328,"['restaurant', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']"
155,KEY Coffee,100台灣台北市中正區忠孝西路一段66號B2,121.5152435,25.0460043,"['cafe', 'food', 'point_of_interest', 'establishment']"
156,渥特咖啡 Walter Cafe - 渥特國際產品展示中心,220台灣新北市板橋區民生路二段234巷35號,121.4692574,25.0227918,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
157,野 freeman cafe桃園藝文店,330台灣桃園市桃園區中埔二街198號,121.2951528,25.013853,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
158,啡饗 Cafe 青埔咖啡廳,320台灣桃園市中壢區永平街67號,121.203206,25.007864,"['cafe', 'food', 'point_of_interest', 'establishment']"
159,Hera Cafe - 戚風蛋糕 | 手作甜點 | 客製蛋糕,103台灣台北市大同區承德路二段1巷7號,121.5184006,25.0536569,"['cafe', 'food', 'point_of_interest', 'establishment']"
160,牆角Corner Walls Café,24249台灣新北市新莊區中平路270巷7弄54號,121.4462202,25.050885,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
161,友美子珈琲 Cafe Yumiko,330台灣桃園市桃園區同德十一街127號,121.2956197,25.0201066,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
162,once again cafe 再來咖啡,110台灣台北市信義區菸廠路88號3樓,121.5614467,25.0445662,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
163,這間咖啡,106台灣台北市大安區信義路四段30巷39號,121.5447824,25.0318207,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
164,New Man Café 一個新人手作烘焙咖啡館,220台灣新北市板橋區四維路291巷4弄1號,121.4622629,25.0283318,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
165,驚嘆號咖啡,241台灣新北市三重區慈愛街9號,121.4850468,25.0786454,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
166,Market Cafe',234台灣新北市永和區竹林路225巷30號,121.5218085,25.0086076,"['cafe', 'food', 'point_of_interest', 'establishment']"
167,Louisa Coffee 路易．莎咖啡(捷運景安店),235台灣新北市中和區景安路175-2號,121.5052761,24.9942124,"['cafe', 'food', 'point_of_interest', 'establishment']"
168,FT cafe x shop,106台灣台北市大安區麗水街28之1號,121.528261,25.028984,"['cafe', 'food', 'point_of_interest', 'establishment']"
169,O'tree Cafe 歐樹咖啡,10452台灣台北市中山區民權東路一段No. 56號,121.5245474,25.0625144,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
170,Jun. B cafe &花屋手作烘焙,324台灣桃園市平鎮區廣德街27號,121.2050696,24.9563853,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
171,同感咖啡 Compassion Cafe,251台灣新北市淡水區淡金路16巷25-1號,121.4583179,25.1605772,"['cafe', 'food', 'point_of_interest', 'establishment']"
172,Petite Cafe 波醍精品咖啡館 新光三越信義 A4 店,"B1, No. 19松高路信義區台北市台灣 110",121.5665808,25.0396206,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
